Class Code,Waste (1-5),Prof (1-5),"Lecture (0, 1)",Difficulty of material (1-5)
Physics 1260,5,1,1,4
Math 1152,5,3,1,1
Engineering 1280,1,5,0,4
Engineering 1281,1,3,0,5
Math 2153,1,5,1,4
Philosophy 1338,3,4,0,4
CSE 2221,3,4,0,2
CSE 2231,3,3,0,2
Math 2568H,1,4,0,5
CSE 2321,4,3,0,2
Engineering 2367,5,1,0,1
Stats 3467,5,1,1,4
German 1103,1,4,0,1
Math 3345,5,1,0,1
CSE 2331,1,5,0,5
CSE 2421,5,1,0,5
ECE 2060,5,2,1,3
CSE 2431,5,1,0,3
CSE 3521,5,1,0,3
German 2102,1,4,0,3
CSE 3901,1,4,0,3